City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
191,narsaq,60.9167,-46.05,0.12000000000000455,97,100,8.33,GL,1674875051
192,azovskaya,44.7908,38.6264,-1.919999999999959,57,99,1.69,RU,1674875051
193,yellowknife,62.456,-114.3525,-23.889999999999986,93,91,6.49,CA,1674874830
194,esperance,-33.8667,121.9,19.160000000000025,49,43,4.9,AU,1674875053
195,somerset,40.5668,-74.5496,2.840000000000032,74,32,0.45,US,1674875028
196,hannibal,39.7084,-91.3585,0.9500000000000455,86,0,0.0,US,1674875054
197,ponte nova,-20.4164,-42.9086,20.57000000000005,96,100,0.94,BR,1674875054
198,saint george,37.1041,-113.5841,7.189999999999998,52,0,0.45,US,1674875054
199,severo-yeniseyskiy,60.3725,93.0408,-12.739999999999952,91,100,5.09,RU,1674875055
200,hualmay,-11.0964,-77.6139,21.910000000000025,82,100,3.46,PE,1674875055
201,zhanaozen,43.3,52.8,-3.169999999999959,56,21,4.99,KZ,1674875056
202,tiksi,71.6872,128.8694,-37.039999999999964,100,99,0.68,RU,1674875056
203,palomares,17.15,-95.0667,17.689999999999998,93,100,4.51,MX,1674875057
204,husavik,66.0449,-17.3389,-2.7199999999999704,84,100,2.06,IS,1674875057
205,juneau,58.3019,-134.4197,3.4500000000000455,100,41,2.03,US,1674874845
206,kaeo,-35.1,173.7833,25.180000000000007,83,100,3.43,NZ,1674875058
207,mayo,38.8876,-76.5119,3.6100000000000136,66,0,2.06,US,1674875059
208,cherskiy,68.75,161.3,-30.22999999999999,85,15,1.09,RU,1674875059
209,bambous virieux,-20.3428,57.7575,25.680000000000007,86,100,2.32,MU,1674875060
210,umm lajj,25.0213,37.2685,22.75,41,3,3.83,SA,1674875060
211,puerto rondon,6.2805,-71.1,25.220000000000027,45,6,2.22,CO,1674875061
212,ahipara,-35.1667,173.1667,22.360000000000014,86,100,3.12,NZ,1674875061
213,acajutla,13.5928,-89.8275,26.439999999999998,58,37,3.41,SV,1674875062
214,udachnyy,66.4167,112.4,-34.74999999999997,97,100,2.21,RU,1674875062
215,yanam,16.7333,82.2167,23.430000000000007,64,94,1.63,IN,1674875063
216,katobu,-4.9408,122.5276,29.29000000000002,69,88,2.78,ID,1674875063
217,hofn,64.2539,-15.2082,1.400000000000034,58,100,3.68,IS,1674875064
218,lompoc,34.6391,-120.4579,11.960000000000036,84,100,9.39,US,1674875064
219,mehamn,71.0357,27.8492,2.9700000000000273,81,40,8.75,NO,1674874994
220,nome,64.5011,-165.4064,-4.909999999999968,93,100,6.69,US,1674875065
221,brae,60.3964,-1.353,6.600000000000023,67,92,10.58,GB,1674875066
222,ovalle,-30.5983,-71.2003,23.090000000000032,43,0,0.76,CL,1674874978
223,la macarena,2.1837,-73.7849,22.390000000000043,56,75,1.43,CO,1674875067
224,santa fe,-31.6333,-60.7,22.230000000000018,94,100,2.68,AR,1674874783
225,bengkulu,-3.8004,102.2655,28.07000000000005,69,90,5.44,ID,1674875068
226,macae,-22.3708,-41.7869,22.890000000000043,94,48,2.34,BR,1674874808
227,hurricane,37.1753,-113.2899,6.1200000000000045,60,77,2.48,US,1674875069
228,buka,40.8108,69.1986,-7.0499999999999545,83,34,0.88,UZ,1674875069
229,tibiao,11.2915,122.0354,25.82000000000005,86,100,5.63,PH,1674875070
230,vrangel,42.7297,133.0839,-14.189999999999998,52,68,5.72,RU,1674875070
231,gilgit,35.9221,74.3087,-1.2699999999999818,53,100,1.32,PK,1674875071
232,roald,62.5833,6.1333,7.090000000000032,75,75,8.75,NO,1674874888
233,uvira,-3.4067,29.1458,21.689999999999998,71,86,1.67,CD,1674875072
234,dunedin,-45.8742,170.5036,16.560000000000002,67,3,0.89,NZ,1674874838
235,aquiraz,-3.9014,-38.3911,27.32000000000005,85,33,4.32,BR,1674875073
236,atuona,-9.8,-139.0333,26.05000000000001,81,97,9.53,PF,1674875073
237,moate,53.55,-7.7167,3.7100000000000364,97,66,2.49,IE,1674875074
